Inverses and integers in base SQRT6
(1/1)base SQRT6   00001.000000000000000000000000000000000001, diff = -9.769962616701378e-15
(24)base   SQRT6  01110.200102000001120110002020101010202000, diff = -7.105427357601002e-15
(25)base   SQRT6  01111.200102000001120110002020101010202000, diff = -7.105427357601002e-15
(26)base   SQRT6  01120.021000110002001201200100110101002020, diff = -3.552713678800501e-15
(27)base   SQRT6  01200.012000000210001111002001202010200120, diff = -1.0658141036401503e-14
(28)base   SQRT6  01201.012000000210001111002001202010200120, diff = -1.0658141036401503e-14
(29)base   SQRT6  01202.012000000210001111002001202010200120, diff = -1.0658141036401503e-14
(30)base   SQRT6  02000.110100112100100201102001011111020000, diff = -1.0658141036401503e-14
(31)base   SQRT6  02001.110100112100100201102001011111020000, diff = -1.0658141036401503e-14
(32)base   SQRT6  02010.002011210001020012010020202001100100, diff = -7.105427357601002e-15
(33)base   SQRT6  02011.002011210001020012010020202001100101, diff = -7.105427357601002e-15
(34)base   SQRT6  02012.002011210001020012010020202001100101, diff = -7.105427357601002e-15
(35)base   SQRT6  02020.111201200111201020010101102011201100, diff = -7.105427357601002e-15
(36)base   SQRT6  10000.000000000000000000000000000000000010, diff = -7.105427357601002e-15
(37)base   SQRT6  10001.000000000000000000000000000000000010, diff = -7.105427357601002e-15
(38)base   SQRT6  10002.000000000000000000000000000000000010, diff = -7.105427357601002e-15
(39)base   SQRT6  10010.102001020000011201100020201010110001, diff = -7.105427357601002e-15
(40)base   SQRT6  10011.102001020000011201100020201010110001, diff = -7.105427357601002e-15
(41)base   SQRT6  10020.001101001121001002011020010111110201, diff = 0
(42)base   SQRT6  10100.000000000000000000000000000000000010, diff = -7.105427357601002e-15
(43)base   SQRT6  10101.000000000000000000000000000000000010, diff = -7.105427357601002e-15
(44)base   SQRT6  10102.000000000000000000000000000000000010, diff = -7.105427357601002e-15
(45)base   SQRT6  10110.102001020000011201100020201010110001, diff = -7.105427357601002e-15
(46)base   SQRT6  10111.102001020000011201100020201010110001, diff = -7.105427357601002e-15
(47)base   SQRT6  10120.001101001121001002011020010111110201, diff = 0
(48)base   SQRT6  10200.000000000000000000000000000000000010, diff = -7.105427357601002e-15
(49)base   SQRT6  10201.000000000000000000000000000000000010, diff = -7.105427357601002e-15
(50)base   SQRT6  10202.000000000000000000000000000000000010, diff = -7.105427357601002e-15
(51)base   SQRT6  11000.012000000210001111002001202010200201, diff = -7.105427357601002e-15
(52)base   SQRT6  11001.012000000210001111002001202010200201, diff = -7.105427357601002e-15
(53)base   SQRT6  11002.012000000210001111002001202010200201, diff = -7.105427357601002e-15
(54)base   SQRT6  11010.200102000001120110002020101010202001, diff = 0
(55)base   SQRT6  11011.200102000001120110002020101010202001, diff = 0
(56)base   SQRT6  11020.021000110002001201200100110101010001, diff = -7.105427357601002e-15
(57)base   SQRT6  11100.012000000210001111002001202010200201, diff = -7.105427357601002e-15
(58)base   SQRT6  11101.012000000210001111002001202010200201, diff = -7.105427357601002e-15
(59)base   SQRT6  11102.012000000210001111002001202010200201, diff = -7.105427357601002e-15
(60)base   SQRT6  11110.200102000001120110002020101010202001, diff = 0
(61)base   SQRT6  11111.200102000001120110002020101010202001, diff = 0
(62)base   SQRT6  11120.021000110002001201200100110101010001, diff = -7.105427357601002e-15
(63)base   SQRT6  11200.012000000210001111002001202010200201, diff = -7.105427357601002e-15
(64)base   SQRT6  11201.012000000210001111002001202010200202, diff = -1.4210854715202004e-14
