Inverses and integers in base Phi^6
Base Phi^6 encoding for 5dot9  00005.g2c68a4e0hf38!i, diff = 0
Base Phi^6 encoding for 6dot9  00006.g2c68a4e0hf38!i, diff = 0
Base Phi^6 encoding for m235   00002.bhcg56f2425ad!i, diff = 0
Base Phi^6 encoding for Geo2   00001.3cf6227bef47b!i, diff = 0
Base Phi^6 encoding for Geo-2  00004.ef9999cc7a2c8!i, diff = 0
Base Phi^6 encoding for Geo3   00001.6a387hd507d16!i, diff = 0
Base Phi^6 encoding for Geo-3  00002.d27gfh9b0f854!i, diff = 0
Base Phi^6 encoding for Geo7   00001.edd62fggbb782!i, diff = 0
Base Phi^6 encoding for Geo-7  00001.3f8a1ab521h4b!i, diff = 0
Base Phi^6 encoding for 7dot9  00007.g2c68a4e0hf38!i, diff = 0
