Inverses and integers in base E^E
(843842)base   E^E  !g0003.c45c04357!g, diff = 0
(843843)base   E^E  !g0004.c45c04357!g, diff = 0
(843844)base   E^E  !g0005.c45c04357!g, diff = 0
(843845)base   E^E  !g0006.c45c04357!g, diff = 0
(843846)base   E^E  !g0007.c45c04357!g, diff = 0
(843847)base   E^E  !g0008.c45c04357!g, diff = 0
(843848)base   E^E  !g0009.c45c04357!g, diff = 0
Base E^E encoding for Phi      00001.9583b26110a253!g, diff = 0
Base E^E encoding for Phi^2    00002.9583b26110a237!g, diff = 0
Base E^E encoding for Phi^3    00004.38b5a56b561d6e!g, diff = 0
Base E^E encoding for Phi^4    00006.ce4713ad95982e!g, diff = 0
Base E^E encoding for Phi^5    0000b.1585d02d1797d!g, diff = 0
Base E^E encoding for Phi^6    00012.beb0eda279de3!g, diff = 0
Base E^E encoding for E        00002.ad63a6cd804277!g, diff = 0
Base E^E encoding for E^2      00007.5d8b0e0ba2e7ce!g, diff = 0
Base E^E encoding for E^E      00010.0000000000001!g, diff = 0
Base E^E encoding for PI       00003.22326381d75a67!g, diff = 0
Base E^E encoding for SQRT2    00001.643047b5c4567b!g, diff = 0
Base E^E encoding for SQRT3    00001.b16574b24c2863!g, diff = 0
Base E^E encoding for SQRT5    00002.38b5a56b561d37!g, diff = 0
Base E^E encoding for SQRT6    00002.6c485e36aa79d7!g, diff = 0
Base E^E encoding for 5dot9    00005.d9a4d2dabdf1ce!g, diff = 0
Base E^E encoding for 6dot9    00006.d9a4d2dabdf1ce!g, diff = 0
Base E^E encoding for m235     00002.a1d392ea250de7!g, diff = 0
Base E^E encoding for Geo2     00001.3217b0060ba123!g, diff = 0
Base E^E encoding for Geo-2    00004.c860905427bdae!g, diff = 0
Base E^E encoding for Geo3     00001.58454853ce5293!g, diff = 0
Base E^E encoding for Geo-3    00002.b16574b24c2877!g, diff = 0
Base E^E encoding for Geo7     00001.c71d3860166b63!g, diff = 0
Base E^E encoding for Geo-7    00001.33ea885b98bc8b!g, diff = 0
Base E^E encoding for 7dot9    00007.d9a4d2dabdf1ce!g, diff = 0
